"INSEE CONSOLIDE";"THESAURUS AVEC AJOUTS";"PCS";"PROPOSITIONS CORRECTIONS";;;
"assistant étranger dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"attaché temporaire d'enseignement et de recherche (ATER)";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"chargé d'enseignement dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"chargé de cours dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"chargé de TD dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"directeur adjoint d'établissement d'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"directeur d'école de l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"directeur d'établissement d'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"directeur d'IUT";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"directeur d'UFR";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"directeur des études dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"doyen de faculté";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"enseignant agrégé dans le supérieur (université, école)";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"enseignant associé dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"enseignant certifié dans le supérieur (université, école)";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"enseignant chercheur (maître de conférence)";"MAITRE DE CONFERENCE";"34B1";;;;
"enseignant chercheur (professeur des universités)";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"enseignant vacataire de l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"lecteur de langue dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"maître assistant dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"maître de conférences (MCF)";"MAITRE DE CONFERENCE";"34B1";;;;
"maître de langue dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"professeur agrégé dans le supérieur (PRAG)";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"professeur certifié dans le supérieur (RPCE)";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"professeur de chaire supérieure dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"professeur de l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"professeur des universités";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"répétiteur dans l'enseignement supérieur";"PROFESSEUR DE L'ENSEIGNEMENT SUPERIEUR";"34B1";;;;
"agronome (recherche publique)";"CHERCHEUR";"34B2";;;;
"anthropologue";"ANTHROPOLOGUE";"34B2";;;;
"archéologue";"ARCHEOLOGUE";"34B2";;;;
"astronome";"ASTRONOME";"34B2";;;;
"atomiste";"CHERCHEUR";"34B2";;;;
"bactériologiste";"BACTERIOLOGISTE";"34B2";;;;
"botaniste";"BOTANISTE";"34B2";;;;
"chargé de recherche publique (chercheur)";"CHERCHEUR";"34B2";;;;
"chef de projet de recherche clinique";"CHERCHEUR";"34B2";;;;
"chercheur (CNRS)";"CHERCHEUR";"34B2";;;;
"chercheur (IFSTTAR)";"CHERCHEUR";"34B2";;;;
"chercheur (INED)";"CHERCHEUR";"34B2";;;;
"chercheur (INRA)";"CHERCHEUR";"34B2";;;;
"chercheur (INRIA)";"CHERCHEUR";"34B2";;;;
"chercheur (INSERM)";"CHERCHEUR";"34B2";;;;
"chercheur (IRD)";"CHERCHEUR";"34B2";;;;
"chercheur (IRSTEA)";"CHERCHEUR";"34B2";;;;
"chercheur en archéologie";"CHERCHEUR";"34B2";;;;
"chercheur en biologie";"CHERCHEUR";"34B2";;;;
"chercheur en démographie";"CHERCHEUR";"34B2";;;;
"chercheur en économie";"CHERCHEUR";"34B2";;;;
"chercheur en environnement";"CHERCHEUR";"34B2";;;;
"chercheur en ethnologie";"CHERCHEUR";"34B2";;;;
"chercheur en géographie";"CHERCHEUR";"34B2";;;;
"chercheur en histoire";"CHERCHEUR";"34B2";;;;
"chercheur en linguistique";"CHERCHEUR";"34B2";;;;
"chercheur en physique";"CHERCHEUR";"34B2";;;;
"chercheur en psychologie";"CHERCHEUR";"34B2";;;;
"chercheur en sociologie";"CHERCHEUR";"34B2";;;;
"coordinateur d'études cliniques (CEA)";"CHERCHEUR";"34B2";;;;
"criminologue";"CRIMINOLOGUE";"34B2";;;;
"cytologiste";"CYTOLOGISTE";"34B2";;;;
"démographe";"DEMOGRAPHE";"34B2";;;;
"directeur de laboratoire de recherche publique";"CHERCHEUR";"34B2";;;;
"directeur de recherche publique (chercheur)";"CHERCHEUR";"34B2";;;;
"doctorant (CIFRE)";"CHERCHEUR";"34B2";;;;
"doctorant contractuel";"CHERCHEUR";"34B2";;;;
"doctorant contractuel enseignant";"CHERCHEUR";"34B2";;;;
"doctorant moniteur";"CHERCHEUR";"34B2";;;;
"ethnologue";"ETHNOLOGUE";"34B2";;;;
"généticien";"GENETICIEN";"34B2";;;;
"géographe";"GEOGRAPHE";"34B2";;;;
"géophysicien";"GEOPHYSICIEN";"34B2";;;;
"géophysicien (recherche publique)";"CHERCHEUR";"34B2";;;;
"historien";"HISTORIEN";"34B2";;;;
"hydrobiologiste";"HYDROBIOLOGISTE";"34B2";;;;
"immunologue";"IMMUNOLOGUE";"34B2";;;;
"ingénieur biomédical";"CHERCHEUR";"34B2";;;;
"ingénieur d'études (enseignement supérieur, recherche publique)";"CHERCHEUR";"34B2";;;;
"ingénieur d'études hospitalier";"CHERCHEUR";"34B2";;;;
"ingénieur de recherche hospitalier";"INGENIEUR DE RECHERCHE";"34B2";;;;
"ingénieur de recherche publique";"INGENIEUR DE RECHERCHE";"34B2";;;;
"maître de recherche publique";"CHERCHEUR";"34B2";;;;
"naturaliste";"NATURALISTE";"34B2";;;;
"océanographe";"OCEANOGRAPHE";"34B2";;;;
"physiologiste";"PHYSIOLOGISTE";"34B2";;;;
"politologue";"POLITOLOGUE";"34B2";;;;
"responsable de laboratoire de recherche publique";"CHERCHEUR";"34B2";;;;
"volcanologue";"VOLCANOLOGUE";"34B2";;;;
"zoologiste";"ZOOLOGISTE";"34B2";;;;
"chef de service hospitalier (médecin)";"MEDECIN CHEF DE SERVICE HOSPITALIER";"34C1";;;;
"directeur adjoint d'un établissement de santé (médecin)";"MEDECIN";"34C1";;;;
"directeur d'ehpad (médecin)";"MEDECIN";"34C1";;;;
"directeur d'un établissement de santé (médecin)";"MEDECIN";"34C1";;;;
"directeur de clinique (médecin)";"MEDECIN";"34C1";;;;
"directeur de laboratoire médical (médecin)";"MEDECIN";"34C1";;;;
"directeur de maison de retraite (médecin)";"MEDECIN";"34C1";;;;
"enseignant en médecine";"MEDECIN";"34C1";;;;
"gériatre en établissement de santé";"MEDECIN";"34C1";;;;
"médecin coordinateur";"MEDECIN";"34C1";;;;
"médecin hospitalier (praticien hospitalier)";"MEDECIN";"34C1";;;;
"médecin praticien hospitalier";"MEDECIN";"34C1";;;;
"médecin professeur des universités (PU)";"MEDECIN";"34C1";;;;
"médecin urgentiste";"MEDECIN";"34C1";;;;
"nutritionniste (médecin)";"MEDECIN";"34C1";;;;
"ostéopathe (médecin)";"MEDECIN";"34C1";;;;
"praticien hospitalier";"MEDECIN";"34C1";;;;
"professeur des universités (médecine)";"MEDECIN";"34C1";;;;
"professeur des universités-praticien hospitalier (PU-PH)";"MEDECIN";"34C1";;;;
"professeur en milieu hospitalier";"MEDECIN";"34C1";;;;
"médecin conseil";"MEDECIN CONSEIL";"34C2";;;;
"médecin de l'Éducation nationale";"MEDECIN";"34C2";;;;
"médecin de prévention";"MEDECIN";"34C2";;;;
"médecin de santé publique";"MEDECIN";"34C2";;;;
"médecin du travail";"MEDECIN";"34C2";;;;
"médecin inspecteur de santé publique";"MEDECIN";"34C2";;;;
"médecin PMI";"MEDECIN";"34C2";;;;
"médecin scolaire";"MEDECIN";"34C2";;;;
"médecin territorial";"MEDECIN";"34C2";;;;
"pédiatre (PMI)";"PEDIATRE";"34C2";;;;
"docteur junior";"MEDECIN";"34C3";;;;
"externe des hôpitaux";"MEDECIN";"34C3";;;;
"externe en médecine";"MEDECIN";"34C3";;;;
"externe en odontologie";"MEDECIN";"34C3";;;;
"externe en pharmacie";"MEDECIN";"34C3";;;;
"interne des hôpitaux";"INTERNE";"34C3";;;;
"interne en anesthésie réanimation";"INTERNE";"34C3";;;;
"interne en biologie médicale";"INTERNE";"34C3";;;;
"interne en chirurgie";"INTERNE";"34C3";;;;
"interne en gynécologie obstétrique";"INTERNE";"34C3";;;;
"interne en médecine";"INTERNE";"34C3";;;;
"interne en ophtalmologie";"INTERNE";"34C3";;;;
"interne en pédiatrie";"INTERNE";"34C3";;;;
"interne en pharmacie";"INTERNE";"34C3";;;;
"interne en psychiatrie";"INTERNE";"34C3";;;;
"médecin hospitalier (faisant fonction d'interne)";"INTERNE";"34C3";;;;
"enseignant en pharmacie";"PHARMACIEN";"34C4";;;;
"pharmacien";"PHARMACIEN";"34C4";;;;
"pharmacien adjoint";"PHARMACIEN";"34C4";;;;
"pharmacien affaires réglementaires";"PHARMACIEN";"34C4";;;;
"pharmacien assistant";"PHARMACIEN";"34C4";;;;
"pharmacien assurance qualité";"PHARMACIEN";"34C4";;;;
"pharmacien biologiste (hôpital)";"PHARMACIEN";"34C4";;;;
"pharmacien biologiste (laboratoire d'analyse)";"PHARMACIEN";"34C4";;;;
"pharmacien conseil";"PHARMACIEN";"34C4";;;;
"pharmacien d'officine";"PHARMACIEN";"34C4";;;;
"pharmacien de l'industrie pharmaceutique";"PHARMACIEN";"34C4";;;;
"pharmacien hospitalier";"PHARMACIEN";"34C4";;;;
"professeur des universités (pharmacie)";"PHARMACIEN";"34C4";;;;
"administrateur de projets culturels";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"administrateur des monuments historiques";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"architecte des bâtiments de France";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"architecte du patrimoine";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"architecte en chef des monuments historiques (ACMH)";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"architecte général des bâtiments de France";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"architecte urbaniste de l'État";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"architecte urbaniste en chef de l'État";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"architecte urbaniste général de l'État";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"archiviste paléographe";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"attaché culturel";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"attaché de conservation du patrimoine";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"commissaire d'exposition";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"conseiller culturel";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"conservateur de bibliothèques";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"conservateur de musée";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"conservateur du patrimoine";"CONSERVATEUR DU PATRIMOINE";"35A1";;;;
"conservateur du patrimoine (archives)";"CONSERVATEUR DU PATRIMOINE";"35A1";;;;
"conservateur du patrimoine (inventaire)";"CONSERVATEUR DU PATRIMOINE";"35A1";;;;
"conservateur du patrimoine (monuments historiques)";"CONSERVATEUR DU PATRIMOINE";"35A1";;;;
"conservateur du patrimoine (musée)";"CONSERVATEUR DU PATRIMOINE";"35A1";;;;
"conservateur en chef des bibliothèques";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"conservateur en chef du patrimoine";"CONSERVATEUR DU PATRIMOINE";"35A1";;;;
"conservateur général des bibliothèques";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"conservateur général du patrimoine";"CONSERVATEUR DU PATRIMOINE";"35A1";;;;
"directeur d'établissement patrimonial";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"directeur de bibliothèque";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"directeur de musée";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"directeur de service d'archéologie";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"directeur des archives";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"expert en objets d’art";"EXPERT EN OBJETS D'ART";"35A1";;;;
"ingénieur des services culturels et du patrimoine";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"inspecteur et conseiller du ministère de la culture (ICCEAAC)";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"muséographe";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"régisseur d'œuvres d'art";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"responsable de projets culturels";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"restaurateur du patrimoine";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"réviseur des bâtiments de France (du patrimoine)";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"vérificateur des bâtiments de France";"CADRE DE LA DOCUMENTATION OU DU PATRIMOINE";"35A1";;;;
"assistant d'édition en presse";"SECRETAIRE DE REDACTION";"35B1";;;;
"assistant de rédaction (journaliste)";"JOURNALISTE";"35B1";;;;
"blogueur";"JOURNALISTE";"35B1";;;;
"chargé de rédaction (journaliste)";"JOURNALISTE";"35B1";;;;
"chef d'édition (journaliste)";"JOURNALISTE";"35B1";;;;
"chef de l'information (journaliste)";"JOURNALISTE";"35B1";;;;
"chef de rubrique (journaliste)";"JOURNALISTE";"35B1";;;;
"chroniqueur";"JOURNALISTE";"35B1";;;;
"correspondant de guerre";"CORRESPONDANT DE PRESSE";"35B1";;;;
"correspondant de presse à l'étranger";"CORRESPONDANT DE PRESSE";"35B1";;;;
"correspondant local de presse (CLP)";"CORRESPONDANT DE PRESSE";"35B1";;;;
"critique d'art, cinéma, théâtre, littérature, musique";"JOURNALISTE";"35B1";;;;
"critique gastronomique";"JOURNALISTE";"35B1";;;;
"cyberjournaliste";"JOURNALISTE";"35B1";;;;
"dessinateur de presse";"DESSINATEUR";"35B1";;;;
"dessinateur humoristique";"DESSINATEUR HUMORISTIQUE";"35B1";;;;
"dessinateur portraitiste";"DESSINATEUR PORTRAITISTE";"35B1";;;;
"éditorialiste";"JOURNALISTE";"35B1";;;;
"envoyé spécial de presse";"JOURNALISTE";"35B1";;;;
"feuilletoniste";"JOURNALISTE";"35B1";;;;
"fixeur (journalisme)";"JOURNALISTE";"35B1";;;;
"grand reporter (journaliste)";"REPORTER";"35B1";;;;
"iconographe (journaliste)";"ILLUSTRATEUR";"35B1";;;;
"illustrateur de presse";"ILLUSTRATEUR";"35B1";;;;
"infopreneur";"JOURNALISTE";"35B1";;;;
"journaliste";"JOURNALISTE";"35B1";;;;
"journaliste agencier";"JOURNALISTE";"35B1";;;;
"journaliste caricaturiste";"JOURNALISTE";"35B1";;;;
"journaliste économique";"JOURNALISTE";"35B1";;;;
"journaliste en ligne (online)";"JOURNALISTE";"35B1";;;;
"journaliste localier";"JOURNALISTE";"35B1";;;;
"journaliste numérique";"JOURNALISTE";"35B1";;;;
"journaliste politique";"JOURNALISTE";"35B1";;;;
"journaliste présentateur TV";"JOURNALISTE PRESENTATEUR";"35B1";;;;
"journaliste radio";"JOURNALISTE RADIO";"35B1";;;;
"journaliste reporter d'images";"JOURNALISTE";"35B1";;;;
"journaliste scientifique";"JOURNALISTE";"35B1";;;;
"journaliste spécialisé";"JOURNALISTE";"35B1";;;;
"journaliste sportif";"JOURNALISTE SPORTIF";"35B1";;;;
"journaliste territorial";"JOURNALISTE";"35B1";;;;
"journaliste web";"JOURNALISTE";"35B1";;;;
"médiateur de presse";"JOURNALISTE";"35B1";;;;
"photojournaliste";"JOURNALISTE";"35B1";;;;
"pigiste";"PIGISTE";"35B1";;;;
"rédacteur de presse";"REDACTEUR";"35B1";;;;
"rédacteur en chef";"REDACTEUR EN CHEF";"35B1";;;;
"rédacteur en chef adjoint";"REDACTEUR EN CHEF";"35B1";;;;
"rédacteur traducteur";"REDACTEUR";"35B1";;;;
"rédacteur web";"REDACTEUR";"35B1";;;;
"reporter";"REPORTER";"35B1";;;;
"reporter dessinateur";"REPORTER";"35B1";;;;
"reporter photographe";"PHOTOGRAPHE DE PRESSE";"35B1";;;;
"rubricard";"JOURNALISTE";"35B1";;;;
"secrétaire d'édition de l'audiovisuel";"SECRETAIRE DE REDACTION";"35B1";;;;
"secrétaire de rédaction";"SECRETAIRE DE REDACTION";"35B1";;;;
"sténographe rédacteur";"JOURNALISTE";"35B1";;;;
"vlogueur";"JOURNALISTE";"35B1";;;;
"webmaster éditorialiste";"JOURNALISTE";"35B1";;;;
"auteur adaptateur";"AUTEUR";"35B2";;;;
"auteur de bandes dessinées (BD)";"AUTEUR";"35B2";;;;
"auteur de jeux de société";"AUTEUR";"35B2";;;;
"auteur de jeux vidéos";"AUTEUR";"35B2";;;;
"auteur dramatique";"ECRIVAIN";"35B2";;;;
"auteur écrivain";"ECRIVAIN";"35B2";;;;
"auteur illustrateur";"AUTEUR";"35B2";;;;
"auteur littéraire";"ECRIVAIN";"35B2";;;;
"biographe";"ECRIVAIN";"35B2";;;;
"concepteur de jeux de société";"AUTEUR";"35B2";;;;
"concepteur de jeux vidéos";"AUTEUR";"35B2";;;;
"créateur de jeux vidéos";"AUTEUR";"35B2";;;;
"dialoguiste";"ECRIVAIN";"35B2";;;;
"dramaturge";"ECRIVAIN";"35B2";;;;
"écrivain";"ECRIVAIN";"35B2";;;;
"écrivain journaliste";"ECRIVAIN";"35B2";;;;
"écrivain public";"ECRIVAIN PUBLIC";"35B2";;;;
"essayiste";"ECRIVAIN";"35B2";;;;
"game designer";"AUTEUR";"35B2";;;;
"lecteur";"LECTEUR";"35B2";;;;
"lecteur-correcteur d'édition";"LECTEUR";"35B2";;;;
"level designer";"AUTEUR";"35B2";;;;
"librettiste";"AUTEUR";"35B2";;;;
"ludographe";"AUTEUR";"35B2";;;;
"parolier";"AUTEUR";"35B2";;;;
"plume politique";"AUTEUR";"35B2";;;;
"poète";"POETE";"35B2";;;;
"prête-plume";"ECRIVAIN";"35B2";;;;
"rewriter";"ECRIVAIN";"35B2";;;;
"romancier";"AUTEUR";"35B2";;;;
"scénariste";"SCENARISTE";"35B2";;;;
"traducteur littéraire";"TRADUCTEUR LITTERAIRE";"35B2";;;;
"acheteur de programmes audiovisuels";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"administrateur de compagnie de danse";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"administrateur de compagnie de théâtre";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"administrateur de presse";"CADRE DE L'EDITION OU DE LA PRESSE";"35C1";;;;
"administrateur de production audiovisuelle";"ADMINISTRATEUR DE PRODUCTION";"35C1";;;;
"administrateur de production cinématographique";"ADMINISTRATEUR DE PRODUCTION";"35C1";;;;
"administrateur de production de spectacles";"ADMINISTRATEUR DE PRODUCTION";"35C1";;;;
"administrateur de salle de spectacles";"DIRECTEUR DE SALLE DE SPECTACLES";"35C1";;;;
"administrateur de théâtre";"DIRECTEUR DE THEATRE";"35C1";;;;
"administrateur producteur délégué";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"directeur d'antenne (radio, télévision)";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"directeur d'édition";"DIRECTEUR D'EDITION";"35C1";;;;
"directeur d'opéra";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"directeur d'orchestre";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"directeur de ballet";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"directeur de cabaret";"DIRECTEUR DE CABARET";"35C1";;;;
"directeur de chaine (radio, télévision)";"DIRECTEUR DE CHAINE";"35C1";;;;
"directeur de chorale";"DIRECTEUR DE CHORALE";"35C1";;;;
"directeur de cinéma";"DIRECTEUR DE CINEMA";"35C1";;;;
"directeur de cirque";"DIRECTEUR DE CIRQUE";"35C1";;;;
"directeur de compagnie de danse";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"directeur de compagnie de théâtre";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"directeur de festival";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"directeur de galerie d'exposition";"DIRECTEUR DE GALERIE D'EXPOSITION";"35C1";;;;
"directeur de journal";"DIRECTEUR DE JOURNAL";"35C1";;;;
"directeur de maison d'édition";"CADRE DE L'EDITION OU DE LA PRESSE";"35C1";;;;
"directeur de maison de disque";"CADRE DE L'EDITION OU DE LA PRESSE";"35C1";;;;
"directeur de production audiovisuelle";"DIRECTEUR DE PRODUCTION";"35C1";;;;
"directeur de production cinématographique";"DIRECTEUR DE PRODUCTION";"35C1";;;;
"directeur de production de spectacles";"DIRECTEUR DE PRODUCTION";"35C1";;;;
"directeur de publication";"CADRE DE L'EDITION OU DE LA PRESSE";"35C1";;;;
"directeur de rédaction";"CADRE DE L'EDITION OU DE LA PRESSE";"35C1";;;;
"directeur de salle de spectacles";"DIRECTEUR DE SALLE DE SPECTACLES";"35C1";;;;
"directeur de théâtre";"DIRECTEUR DE THEATRE";"35C1";;;;
"directeur littéraire";"DIRECTEUR LITTERAIRE";"35C1";;;;
"éditeur (littéraire, numérique, disques, jeux, etc.)";"EDITEUR";"35C1";;;;
"imprésario";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"producteur audiovisuel";"PRODUCTEUR DE TELEVISION";"35C1";;;;
"producteur de cinéma";"PRODUCTEUR";"35C1";;;;
"producteur de musique";"PRODUCTEUR";"35C1";;;;
"producteur de spectacles";"PRODUCTEUR";"35C1";;;;
"producteur délégué de l'audiovisuel";"PRODUCTEUR DE TELEVISION";"35C1";;;;
"producteur délégué de spectacles";"PRODUCTEUR";"35C1";;;;
"producteur exécutif de l'audiovisuel";"PRODUCTEUR DE TELEVISION";"35C1";;;;
"producteur exécutif de spectacles";"PRODUCTEUR";"35C1";;;;
"producteur radio";"PRODUCTEUR DE RADIO";"35C1";;;;
"responsable de programmation audiovisuelle";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"responsable de programmation de spectacles";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C1";;;;
"responsable éditorial";"CADRE DE L'EDITION OU DE LA PRESSE";"35C1";;;;
"cadreur";"CADREUR";"35C2";;;;
"cadreur cameraman";"CAMERAMAN";"35C2";;;;
"cameraman";"CAMERAMAN";"35C2";;;;
"chef accessoiriste";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef coiffeur perruquier du spectacle";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef costumier de l'audiovisuel";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef costumier de spectacles";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef couturier de spectacles";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef d'atelier de construction de décor";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef de car audiovisuel";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef de plateau audiovisuel";"CHEF DE PLATEAU";"35C2";;;;
"chef décorateur de l'audiovisuel";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef décorateur de spectacles";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef des opérations de prises de vue";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef éclairagiste du spectacle et de l'audiovisuel";"CHEF ECLAIRAGISTE";"35C2";;;;
"chef électricien du spectacle et de l'audiovisuel";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef habilleur du spectacle et de l'audiovisuel";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef machiniste";"MACHINISTE";"35C2";;;;
"chef magasinier du spectacle";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef maquilleur du spectacle";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef monteur de l'audiovisuel";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"chef opérateur de l'audiovisuel";"CHEF OPERATEUR";"35C2";;;;
"cinéaste";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"concepteur d'émissions web";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"concepteur designer de produits";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"concepteur designer graphique";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"coordinateur d'émissions pour l'audiovisuel";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"coordinateur de production web";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"créateur de costumes de spectacles";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"créateur de costumes pour l'audiovisuel";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"décorateur du spectacle";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"décorateur scénographe";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"designer graphique";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"designer industriel";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
"directeur artistique";"DIRECTEUR ARTISTIQUE";"35C2";;;;
"directeur artistique (50 salariés ou plus)";"DIRECTEUR ARTISTIQUE";"35C2";;;;
"directeur de post-production";"CADRE DE L'AUDIOVISUEL OU DES SPECTACLES";"35C2";;;;
